2025-10-24 15:03:55,720 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=3
2025-10-24 15:03:56,200 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=4
2025-10-24 15:03:56,442 | WARNING | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=5
2025-10-24 15:03:56,682 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=5
2025-10-24 15:03:56,880 | WARNING | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=6
2025-10-24 15:03:56,965 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=0
2025-10-24 15:03:57,120 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=6
2025-10-24 15:03:57,360 | WARNING | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=7
2025-10-24 15:03:57,445 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=1
2025-10-24 15:03:57,600 | INFO | pid=34508 tid=6221230080 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=aqm_evergyoffice dev_eui=cacbb80330026415 ch=7
2025-10-24 15:03:57,920 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=2
2025-10-24 15:03:58,405 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=3
2025-10-24 15:03:58,866 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=4
2025-10-24 15:03:59,130 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=5
2025-10-24 15:03:59,336 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=5
2025-10-24 15:03:59,578 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=6
2025-10-24 15:03:59,800 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=6
2025-10-24 15:04:00,040 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=7
2025-10-24 15:04:00,285 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b70445e0 ch=7
2025-10-24 15:04:05,245 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=0
2025-10-24 15:04:05,720 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=1
2025-10-24 15:04:06,201 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=2
2025-10-24 15:04:06,683 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=3
2025-10-24 15:04:07,160 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=4
2025-10-24 15:04:07,401 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=5
